Source	Target	Type	Label	Weight
60	5	Directed	Owns	3.920000
60	7	Directed	Owns	0.220000
60	10	Directed	Owns	2.420000
60	16	Directed	Owns	0.260000
60	19	Directed	Owns	1.550000
60	20	Directed	Owns	1.250000
60	22	Directed	Owns	1.480000
60	23	Directed	Owns	0.380000
60	24	Directed	Owns	0.300000
61	1	Directed	Owns	0.170000
61	5	Directed	Owns	0.980000
61	7	Directed	Owns	0.350000
61	10	Directed	Owns	0.820000
61	16	Directed	Owns	0.140000
61	17	Directed	Owns	0.180000
61	19	Directed	Owns	0.240000
61	20	Directed	Owns	0.320000
61	22	Directed	Owns	0.100000
61	23	Directed	Owns	0.620000
61	24	Directed	Owns	1.270000
62	1	Directed	Owns	0.160000
62	20	Directed	Owns	0.100000
63	1	Directed	Owns	0.160000
63	5	Directed	Owns	0.220000
63	7	Directed	Owns	0.320000
63	10	Directed	Owns	0.160000
63	19	Directed	Owns	0.140000
63	20	Directed	Owns	0.210000
63	23	Directed	Owns	0.380000
63	24	Directed	Owns	0.240000
64	1	Directed	Owns	0.160000
64	7	Directed	Owns	0.270000
64	17	Directed	Owns	0.140000
64	20	Directed	Owns	0.260000
64	23	Directed	Owns	0.830000
64	24	Directed	Owns	0.310000
65	1	Directed	Owns	0.160000
65	5	Directed	Owns	0.250000
65	7	Directed	Owns	0.100000
65	10	Directed	Owns	0.540000
66	1	Directed	Owns	0.150000
67	1	Directed	Owns	0.150000
67	5	Directed	Owns	0.610000
67	10	Directed	Owns	0.720000
67	19	Directed	Owns	0.750000
67	20	Directed	Owns	0.240000
67	22	Directed	Owns	0.440000
67	23	Directed	Owns	0.160000
68	1	Directed	Owns	0.150000
68	4	Directed	Owns	0.610000
68	5	Directed	Owns	0.770000
68	7	Directed	Owns	1.120000
68	8	Directed	Owns	0.110000
68	10	Directed	Owns	0.550000
68	16	Directed	Owns	0.340000
68	17	Directed	Owns	0.280000
68	19	Directed	Owns	0.280000
68	20	Directed	Owns	0.880000
68	22	Directed	Owns	0.390000
68	23	Directed	Owns	1.170000
68	24	Directed	Owns	3.720000
69	1	Directed	Owns	0.150000
69	16	Directed	Owns	0.140000
69	19	Directed	Owns	0.110000
70	1	Directed	Owns	0.150000
70	5	Directed	Owns	0.130000
70	7	Directed	Owns	0.320000
70	10	Directed	Owns	0.170000
70	16	Directed	Owns	0.510000
70	20	Directed	Owns	0.360000
70	23	Directed	Owns	0.300000
70	24	Directed	Owns	0.300000
71	1	Directed	Owns	0.140000
71	5	Directed	Owns	0.400000
71	7	Directed	Owns	0.300000
71	10	Directed	Owns	0.540000
71	19	Directed	Owns	0.360000
71	20	Directed	Owns	0.130000
71	22	Directed	Owns	0.500000
71	23	Directed	Owns	0.110000
71	24	Directed	Owns	0.100000
72	1	Directed	Owns	0.140000
72	5	Directed	Owns	1.360000
72	10	Directed	Owns	0.570000
72	19	Directed	Owns	0.900000
72	20	Directed	Owns	0.240000
72	23	Directed	Owns	0.290000
72	24	Directed	Owns	0.490000
73	1	Directed	Owns	0.140000
73	5	Directed	Owns	6.340000
73	7	Directed	Owns	0.260000
73	10	Directed	Owns	2.980000
73	16	Directed	Owns	1.610000
73	17	Directed	Owns	1.520000
73	19	Directed	Owns	0.590000
73	20	Directed	Owns	2.490000
73	22	Directed	Owns	1.130000
73	23	Directed	Owns	0.580000
73	24	Directed	Owns	0.260000
74	1	Directed	Owns	0.140000
74	7	Directed	Owns	0.430000
74	19	Directed	Owns	0.100000
74	20	Directed	Owns	0.260000
74	23	Directed	Owns	0.330000
74	24	Directed	Owns	0.270000
75	1	Directed	Owns	0.130000
75	7	Directed	Owns	0.130000
75	10	Directed	Owns	0.470000
75	20	Directed	Owns	0.180000
75	23	Directed	Owns	0.300000
75	24	Directed	Owns	0.210000
76	1	Directed	Owns	0.130000
76	4	Directed	Owns	0.540000
76	5	Directed	Owns	0.460000
76	7	Directed	Owns	0.150000
76	8	Directed	Owns	0.210000
76	10	Directed	Owns	0.560000
76	17	Directed	Owns	0.120000
76	19	Directed	Owns	0.130000
76	20	Directed	Owns	0.160000
76	23	Directed	Owns	0.470000
76	24	Directed	Owns	0.140000
77	1	Directed	Owns	0.130000
77	7	Directed	Owns	0.210000
77	20	Directed	Owns	0.250000
77	23	Directed	Owns	0.180000
78	1	Directed	Owns	0.120000
79	1	Directed	Owns	0.120000
79	4	Directed	Owns	0.320000
79	5	Directed	Owns	1.390000
79	10	Directed	Owns	0.120000
79	16	Directed	Owns	0.130000
79	19	Directed	Owns	0.180000
79	22	Directed	Owns	0.200000
80	1	Directed	Owns	0.120000
80	7	Directed	Owns	0.240000
80	16	Directed	Owns	0.280000
80	20	Directed	Owns	0.280000
80	23	Directed	Owns	0.260000
80	24	Directed	Owns	0.290000
81	1	Directed	Owns	0.120000
81	5	Directed	Owns	0.170000
81	7	Directed	Owns	0.250000
81	20	Directed	Owns	0.230000
81	23	Directed	Owns	0.320000
81	24	Directed	Owns	1.070000
82	1	Directed	Owns	0.110000
82	4	Directed	Owns	0.240000
82	5	Directed	Owns	0.490000
82	7	Directed	Owns	0.490000
82	10	Directed	Owns	0.820000
82	16	Directed	Owns	0.120000
82	17	Directed	Owns	0.230000
82	19	Directed	Owns	0.250000
82	20	Directed	Owns	0.700000
82	22	Directed	Owns	0.380000
82	23	Directed	Owns	0.200000
82	24	Directed	Owns	0.160000
83	1	Directed	Owns	0.110000
84	1	Directed	Owns	0.110000
84	5	Directed	Owns	0.300000
85	1	Directed	Owns	0.110000
85	22	Directed	Owns	0.170000
85	24	Directed	Owns	0.150000
86	1	Directed	Owns	0.110000
86	5	Directed	Owns	0.150000
86	7	Directed	Owns	0.110000
86	20	Directed	Owns	0.230000
86	23	Directed	Owns	0.230000
86	24	Directed	Owns	0.300000
87	1	Directed	Owns	0.110000
87	4	Directed	Owns	0.930000
87	5	Directed	Owns	1.090000
87	7	Directed	Owns	0.120000
87	10	Directed	Owns	1.110000
87	13	Directed	Owns	0.100000
87	16	Directed	Owns	0.190000
87	17	Directed	Owns	0.110000
87	20	Directed	Owns	0.120000
87	22	Directed	Owns	0.290000
87	23	Directed	Owns	0.150000
87	24	Directed	Owns	0.110000
88	1	Directed	Owns	0.110000
88	7	Directed	Owns	0.180000
88	20	Directed	Owns	0.180000
88	23	Directed	Owns	0.170000
88	24	Directed	Owns	0.190000
89	1	Directed	Owns	0.100000
90	23	Directed	Owns	0.020000
94	7	Directed	Owns	0.020000
94	20	Directed	Owns	0.020000
94	23	Directed	Owns	0.120000
95	2	Directed	Owns	100.000000
96	2	Directed	Owns	39.660000
97	4	Directed	Owns	71.300000
98	4	Directed	Owns	21.480000
98	8	Directed	Owns	11.380000
99	4	Directed	Owns	0.980000
99	5	Directed	Owns	0.290000
99	10	Directed	Owns	0.250000
100	4	Directed	Owns	0.290000
101	4	Directed	Owns	0.250000
101	8	Directed	Owns	0.030000
102	4	Directed	Owns	0.220000
102	5	Directed	Owns	2.160000
102	7	Directed	Owns	0.810000
102	8	Directed	Owns	0.100000
102	10	Directed	Owns	1.960000
102	13	Directed	Owns	1.280000
102	16	Directed	Owns	0.960000
102	17	Directed	Owns	1.930000
102	19	Directed	Owns	1.970000
102	20	Directed	Owns	0.820000
102	22	Directed	Owns	0.840000
102	23	Directed	Owns	0.820000
102	24	Directed	Owns	0.800000
103	4	Directed	Owns	0.220000
103	5	Directed	Owns	0.130000
103	7	Directed	Owns	0.240000
103	10	Directed	Owns	0.370000
103	13	Directed	Owns	0.160000
103	16	Directed	Owns	0.100000
103	17	Directed	Owns	0.270000
103	19	Directed	Owns	0.200000
103	20	Directed	Owns	0.210000
103	22	Directed	Owns	0.660000
103	23	Directed	Owns	0.190000
103	24	Directed	Owns	0.120000
104	4	Directed	Owns	0.120000
104	5	Directed	Owns	0.160000
104	16	Directed	Owns	0.140000
104	19	Directed	Owns	0.170000
104	24	Directed	Owns	0.100000
105	4	Directed	Owns	0.080000
106	4	Directed	Owns	0.070000
107	4	Directed	Owns	0.060000
108	4	Directed	Owns	0.050000
109	4	Directed	Owns	0.050000
110	4	Directed	Owns	0.050000
114	5	Directed	Owns	26.750000
115	5	Directed	Owns	16.190000
116	5	Directed	Owns	3.240000
117	5	Directed	Owns	3.190000
118	5	Directed	Owns	2.930000
119	5	Directed	Owns	2.450000
119	8	Directed	Owns	0.480000
119	10	Directed	Owns	1.900000
119	16	Directed	Owns	0.180000
119	17	Directed	Owns	0.920000
119	20	Directed	Owns	0.370000
119	22	Directed	Owns	0.150000
119	24	Directed	Owns	0.210000
120	5	Directed	Owns	2.180000
121	5	Directed	Owns	1.980000
121	8	Directed	Owns	0.230000
121	10	Directed	Owns	1.600000
122	5	Directed	Owns	1.130000
122	7	Directed	Owns	0.130000
122	10	Directed	Owns	1.330000
122	17	Directed	Owns	0.480000
122	19	Directed	Owns	0.230000
122	20	Directed	Owns	0.120000
122	24	Directed	Owns	1.000000
123	5	Directed	Owns	0.950000
123	10	Directed	Owns	0.340000
123	20	Directed	Owns	0.130000
124	5	Directed	Owns	0.690000
124	10	Directed	Owns	1.570000
124	17	Directed	Owns	0.130000
124	20	Directed	Owns	0.130000
124	22	Directed	Owns	0.210000
125	5	Directed	Owns	0.660000
125	13	Directed	Owns	10.580000
126	5	Directed	Owns	0.560000
126	7	Directed	Owns	0.440000
126	20	Directed	Owns	0.500000
126	22	Directed	Owns	0.270000
126	23	Directed	Owns	0.230000
126	24	Directed	Owns	0.990000
127	5	Directed	Owns	0.550000
127	10	Directed	Owns	0.540000
127	17	Directed	Owns	0.210000
128	5	Directed	Owns	0.520000
128	10	Directed	Owns	0.480000
128	22	Directed	Owns	0.130000
129	5	Directed	Owns	0.500000
129	10	Directed	Owns	0.160000
129	19	Directed	Owns	1.420000
129	23	Directed	Owns	0.130000
129	24	Directed	Owns	0.200000
130	5	Directed	Owns	0.430000
130	10	Directed	Owns	1.790000
131	5	Directed	Owns	0.390000
131	10	Directed	Owns	0.540000
132	5	Directed	Owns	0.390000
132	7	Directed	Owns	0.200000
132	10	Directed	Owns	0.400000
132	16	Directed	Owns	0.140000
132	17	Directed	Owns	0.130000
132	19	Directed	Owns	0.270000
132	20	Directed	Owns	0.180000
132	23	Directed	Owns	0.310000
132	24	Directed	Owns	0.240000
133	5	Directed	Owns	0.380000
133	10	Directed	Owns	0.500000
134	5	Directed	Owns	0.380000
134	10	Directed	Owns	0.170000
135	5	Directed	Owns	0.330000
135	10	Directed	Owns	0.140000
136	5	Directed	Owns	0.310000
136	16	Directed	Owns	0.220000
136	19	Directed	Owns	0.350000
137	5	Directed	Owns	0.300000
137	10	Directed	Owns	0.600000
138	5	Directed	Owns	0.280000
138	10	Directed	Owns	0.400000
138	19	Directed	Owns	0.360000
138	20	Directed	Owns	0.230000
139	5	Directed	Owns	0.260000
139	10	Directed	Owns	0.250000
139	17	Directed	Owns	0.120000
140	5	Directed	Owns	0.260000
140	7	Directed	Owns	0.150000
140	19	Directed	Owns	0.340000
140	22	Directed	Owns	0.180000
140	24	Directed	Owns	0.370000
141	5	Directed	Owns	0.220000
141	10	Directed	Owns	0.420000
141	17	Directed	Owns	0.160000
142	5	Directed	Owns	0.210000
142	10	Directed	Owns	0.310000
143	5	Directed	Owns	0.200000
143	10	Directed	Owns	0.210000
144	5	Directed	Owns	0.180000
144	7	Directed	Owns	0.100000
144	16	Directed	Owns	0.650000
144	17	Directed	Owns	1.750000
144	19	Directed	Owns	1.490000
144	20	Directed	Owns	0.160000
144	22	Directed	Owns	0.750000
144	23	Directed	Owns	0.280000
145	5	Directed	Owns	0.180000
145	10	Directed	Owns	0.290000
146	5	Directed	Owns	0.180000
146	10	Directed	Owns	0.160000
147	5	Directed	Owns	0.170000
147	10	Directed	Owns	0.120000
147	11	Directed	Owns	100.000000
148	5	Directed	Owns	0.170000
148	7	Directed	Owns	0.210000
148	10	Directed	Owns	0.220000
148	20	Directed	Owns	0.290000
149	5	Directed	Owns	0.160000
150	5	Directed	Owns	0.150000
151	5	Directed	Owns	0.140000
152	5	Directed	Owns	0.130000
152	10	Directed	Owns	0.220000
153	5	Directed	Owns	0.130000
154	5	Directed	Owns	0.120000
154	10	Directed	Owns	0.140000
155	5	Directed	Owns	0.120000
155	10	Directed	Owns	0.180000
155	19	Directed	Owns	0.200000
155	20	Directed	Owns	0.110000
155	23	Directed	Owns	0.440000
155	24	Directed	Owns	0.160000
156	5	Directed	Owns	0.120000
157	5	Directed	Owns	0.110000
157	7	Directed	Owns	0.140000
157	16	Directed	Owns	0.140000
157	17	Directed	Owns	0.100000
157	19	Directed	Owns	0.130000
157	20	Directed	Owns	0.130000
157	22	Directed	Owns	0.160000
157	23	Directed	Owns	0.130000
157	24	Directed	Owns	0.140000
158	5	Directed	Owns	0.110000
159	5	Directed	Owns	0.110000
159	7	Directed	Owns	0.130000
159	23	Directed	Owns	0.140000
160	5	Directed	Owns	0.100000
160	7	Directed	Owns	0.110000
160	10	Directed	Owns	0.110000
160	16	Directed	Owns	0.180000
160	19	Directed	Owns	0.160000
160	22	Directed	Owns	0.150000
160	23	Directed	Owns	0.280000
161	5	Directed	Owns	0.040000
161	10	Directed	Owns	0.040000
161	17	Directed	Owns	0.030000
208	6	Directed	Owns	100.000000
209	7	Directed	Owns	0.530000
209	20	Directed	Owns	0.330000
209	23	Directed	Owns	0.190000
209	24	Directed	Owns	0.320000
210	7	Directed	Owns	0.340000
210	19	Directed	Owns	0.160000
